datetime, time (s), time (hms), active_status, active_dist (mi), active_time (s), pause_time (s), stride_pace (mi/min), step_rate (s/min), stride_length (ft), contact_time (ms), braking_gs, impact_gs, footstrike_type, max_pronation_vel, pronation_fs_mp, pronation_mp_to,stance_fs_mp, stance_mp_to 
datetime, , , , , , , power, cadence, , , , , , , , , , , 
2015-12-27 10:31:19.827, 79.827, 00:01:19.827, 1, 0.1433, 75.9, 0.0, 8.594, 158.94, 7.731, 322.0, 5.598, 9.168, 11.0, 684.692, -14.932, -10.026, 6.291, 77.704
2015-12-27 10:31:20.582, 80.582, 00:01:20.582, 1, 0.1447, 76.7, 0.0, 8.725, 158.94, 7.615, 332.0, 6.102, 11.957, 6.0, 452.515, -15.053, -6.888, 12.611, 75.776
2015-12-27 10:31:21.337, 81.337, 00:01:21.337, 1, 0.1462, 77.5, 0.0, 8.677, 156.863, 7.759, 322.0, 5.793, 15.363, 10.0, 632.996, -13.465, -9.486, 6.385, 78.282
2015-12-27 10:31:22.102, 82.102, 00:01:22.102, 1, 0.1477, 78.2, 0.0, 8.653, 158.94, 7.679, 322.0, 5.473, 9.426, 9.0, 538.818, -15.263, -7.6, 8.412, 77.213
2015-12-27 10:31:22.857, 82.857, 00:01:22.857, 1, 0.1491, 79.0, 0.0, 8.738, 157.895, 7.654, 322.0, 5.613, 10.824, 10.0, 527.832, -14.794, -7.838, 7.062, 76.447
2015-12-27 10:31:23.617, 83.617, 00:01:23.617, 1, 0.1506, 79.7, 0.0, 8.682, 157.895, 7.704, 333.0, 5.484, 14.281, 9.0, 539.673, -14.585, -10.201, 7.92, 78.457
2015-12-27 10:31:24.377, 84.377, 00:01:24.377, 1, 0.1520, 80.5, 0.0, 8.439, 158.94, 7.873, 333.0, 5.645, 9.98, 9.0, 481.567, -14.354, -8.464, 9.226, 78.6
2015-12-27 10:31:25.132, 85.132, 00:01:25.132, 1, 0.1535, 81.2, 0.0, 8.749, 158.94, 7.594, 323.0, 5.551, 13.387, 8.0, 513.733, -15.706, -7.419, 9.759, 75.822
2015-12-27 10:31:25.887, 85.887, 00:01:25.887, 1, 0.1550, 82.0, 0.0, 8.709, 156.658, 7.74, 317.0, 5.527, 8.949, 11.0, 585.632, -14.318, -6.846, 5.655, 75.767
2015-12-27 10:31:26.653, 86.653, 00:01:26.653, 1, 0.1564, 82.8, 0.0, 8.675, 156.863, 7.76, 327.0, 5.719, 11.348, 8.0, 604.004, -16.478, -8.003, 9.548, 76.699
2015-12-27 10:31:27.418, 87.418, 00:01:27.418, 1, 0.1578, 83.5, 0.0, 9.04, 155.844, 7.495, 332.0, 5.785, 10.18, 8.0, 547.363, -15.997, -7.658, 9.424, 76.446
2015-12-27 10:31:28.188, 88.188, 00:01:28.188, 1, 0.1593, 84.3, 0.0, 8.647, 158.94, 7.684, 332.0, 5.398, 11.754, 10.0, 439.453, -12.513, -9.538, 6.403, 76.07
2015-12-27 10:31:28.943, 88.943, 00:01:28.943, 1, 0.1607, 85.1, 0.0, 9.091, 157.895, 7.357, 337.0, 5.277, 10.063, 7.0, 456.36, -14.211, -6.603, 10.789, 75.842
2015-12-27 10:31:29.703, 89.703, 00:01:29.703, 1, 0.1621, 85.8, 0.0, 8.809, 157.895, 7.592, 337.0, 8.91, 9.125, 8.0, 441.65, -13.476, -6.629, 9.847, 74.194
2015-12-27 10:31:30.463, 90.463, 00:01:30.463, 1, 0.1636, 86.6, 0.0, 8.59, 158.94, 7.735, 323.0, 5.578, 10.824, 12.0, 624.634, -16.038, -8.418, 4.766, 76.932
2015-12-27 10:31:31.218, 91.218, 00:01:31.218, 1, 0.1650, 87.3, 0.0, 8.878, 158.94, 7.484, 333.0, 5.281, 8.219, 7.0, 479.37, -17.456, -6.27, 11.271, 76.026
2015-12-27 10:31:31.973, 91.973, 00:01:31.973, 1, 0.1664, 88.1, 0.0, 8.683, 160.0, 7.601, 338.0, 6.652, 15.898, 8.0, 521.606, -12.791, -9.718, 10.648, 77.285
2015-12-27 10:31:32.723, 92.723, 00:01:32.723, 1, 0.1678, 88.8, 0.0, 8.805, 158.94, 7.545, 332.0, 5.766, 9.012, 9.0, 603.638, -15.072, -9.16, 8.696, 78.267
2015-12-27 10:31:33.478, 93.478, 00:01:33.478, 1, 0.1692, 89.6, 0.0, 8.874, 163.265, 7.289, 332.0, 5.184, 9.379, 7.0, 546.509, -14.791, -7.665, 10.914, 74.077
2015-12-27 10:31:34.213, 94.213, 00:01:34.213, 1, 0.1706, 90.3, 0.0, 9.377, 163.265, 6.897, 348.0, 8.59, 14.777, 8.0, 760.864, -16.327, -9.457, 10.102, 75.017
